seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
42,jpeg_compression,1,59.64,56.02,cutmix_p1,3.6199999999999974
42,jpeg_compression,2,50.76,45.96,cutmix_p1,4.799999999999997
42,jpeg_compression,3,47.36,43.11,cutmix_p1,4.25
42,jpeg_compression,4,43.1,39.32,cutmix_p1,3.780000000000001
42,jpeg_compression,5,38.87,34.81,cutmix_p1,4.059999999999995
42,motion_blur,1,68.69,68.45,cutmix_p1,0.23999999999999488
42,motion_blur,2,59.41,59.07,cutmix_p1,0.3399999999999963
42,motion_blur,3,50.1,49.73,cutmix_p1,0.37000000000000455
42,motion_blur,4,50.07,50.11,cutmix_p1,-0.03999999999999915
42,motion_blur,5,42.27,41.61,cutmix_p1,0.6600000000000037
42,pixelate,1,73.15,73.34,cutmix_p1,-0.18999999999999773
42,pixelate,2,63.48,61.39,cutmix_p1,2.0899999999999963
42,pixelate,3,55.59,52.33,cutmix_p1,3.260000000000005
42,pixelate,4,29.61,25.2,cutmix_p1,4.41
42,pixelate,5,12.99,11.29,cutmix_p1,1.700000000000001
42,shot_noise,1,52.75,43.81,cutmix_p1,8.939999999999998
42,shot_noise,2,36.49,26.76,cutmix_p1,9.73
42,shot_noise,3,17.45,10.94,cutmix_p1,6.51
42,shot_noise,4,13.41,8.4,cutmix_p1,5.01
42,shot_noise,5,9.46,6.08,cutmix_p1,3.380000000000001
42,snow,1,71.48,72.21,cutmix_p1,-0.7299999999999898
42,snow,2,53.7,53.9,cutmix_p1,-0.19999999999999574
42,snow,3,59.6,60.07,cutmix_p1,-0.46999999999999886
42,snow,4,55.23,55.31,cutmix_p1,-0.0800000000000054
42,snow,5,46.21,45.33,cutmix_p1,0.8800000000000026
42,zoom_blur,1,66.22,66.48,cutmix_p1,-0.2600000000000051
42,zoom_blur,2,60.66,61.01,cutmix_p1,-0.3500000000000014
42,zoom_blur,3,52.26,53.95,cutmix_p1,-1.6900000000000048
42,zoom_blur,4,44.96,46.56,cutmix_p1,-1.6000000000000014
42,zoom_blur,5,36.83,38.85,cutmix_p1,-2.020000000000003
43,brightness,1,77.66,78.26,cutmix_p1,-0.6000000000000085
43,brightness,2,76.67,76.94,cutmix_p1,-0.269999999999996
43,brightness,3,74.42,75.16,cutmix_p1,-0.7399999999999949
43,brightness,4,71.56,72.64,cutmix_p1,-1.0799999999999983
43,brightness,5,63.68,64.82,cutmix_p1,-1.1399999999999935
43,contrast,1,77.18,77.0,cutmix_p1,0.18000000000000682
43,contrast,2,69.86,69.39,cutmix_p1,0.46999999999999886
43,contrast,3,62.77,61.72,cutmix_p1,1.0500000000000043
43,contrast,4,50.55,48.26,cutmix_p1,2.289999999999999
43,contrast,5,20.3,18.99,cutmix_p1,1.3100000000000023
43,defocus_blur,1,77.93,78.42,cutmix_p1,-0.4899999999999949
43,defocus_blur,2,73.84,74.06,cutmix_p1,-0.21999999999999886
43,defocus_blur,3,64.02,64.05,cutmix_p1,-0.030000000000001137
43,defocus_blur,4,51.89,53.02,cutmix_p1,-1.1300000000000026
43,defocus_blur,5,32.49,31.63,cutmix_p1,0.860000000000003
43,elastic_transform,1,69.2,69.49,cutmix_p1,-0.28999999999999204
43,elastic_transform,2,68.71,68.99,cutmix_p1,-0.28000000000000114
43,elastic_transform,3,62.88,62.41,cutmix_p1,0.47000000000000597
43,elastic_transform,4,55.91,55.64,cutmix_p1,0.269999999999996
43,elastic_transform,5,49.26,47.22,cutmix_p1,2.039999999999999
43,fog,1,77.58,77.83,cutmix_p1,-0.25
43,fog,2,73.92,73.88,cutmix_p1,0.04000000000000625
43,fog,3,69.22,69.56,cutmix_p1,-0.3400000000000034
43,fog,4,61.49,61.7,cutmix_p1,-0.21000000000000085
43,fog,5,36.39,37.26,cutmix_p1,-0.8699999999999974
43,frost,1,66.18,65.6,cutmix_p1,0.5800000000000125
43,frost,2,55.5,54.62,cutmix_p1,0.8800000000000026
43,frost,3,43.23,41.63,cutmix_p1,1.5999999999999943
43,frost,4,42.03,40.86,cutmix_p1,1.1700000000000017
43,frost,5,32.88,31.52,cutmix_p1,1.360000000000003
43,gaussian_noise,1,37.88,25.68,cutmix_p1,12.200000000000003
43,gaussian_noise,2,19.5,11.75,cutmix_p1,7.75
43,gaussian_noise,3,11.11,6.73,cutmix_p1,4.379999999999999
43,gaussian_noise,4,8.78,5.76,cutmix_p1,3.0199999999999996
43,gaussian_noise,5,7.26,4.91,cutmix_p1,2.3499999999999996
43,glass_blur,1,20.42,19.7,cutmix_p1,0.7200000000000024
43,glass_blur,2,21.86,20.93,cutmix_p1,0.9299999999999997
43,glass_blur,3,26.4,24.25,cutmix_p1,2.1499999999999986
43,glass_blur,4,16.04,15.33,cutmix_p1,0.7099999999999991
43,glass_blur,5,19.51,18.47,cutmix_p1,1.0400000000000027
43,impulse_noise,1,63.66,57.0,cutmix_p1,6.659999999999997
43,impulse_noise,2,41.1,28.36,cutmix_p1,12.740000000000002
43,impulse_noise,3,24.44,13.85,cutmix_p1,10.590000000000002
43,impulse_noise,4,10.49,5.86,cutmix_p1,4.63
43,impulse_noise,5,5.6,3.36,cutmix_p1,2.2399999999999998
43,jpeg_compression,1,59.02,57.27,cutmix_p1,1.75
43,jpeg_compression,2,50.23,47.84,cutmix_p1,2.3899999999999935
43,jpeg_compression,3,46.76,44.29,cutmix_p1,2.469999999999999
43,jpeg_compression,4,43.13,40.86,cutmix_p1,2.270000000000003
43,jpeg_compression,5,38.97,35.94,cutmix_p1,3.030000000000001
43,motion_blur,1,68.53,68.44,cutmix_p1,0.09000000000000341
43,motion_blur,2,59.62,58.57,cutmix_p1,1.0499999999999972
43,motion_blur,3,50.67,49.43,cutmix_p1,1.240000000000002
43,motion_blur,4,50.71,49.42,cutmix_p1,1.2899999999999991
43,motion_blur,5,42.81,41.53,cutmix_p1,1.2800000000000011
43,pixelate,1,73.74,73.01,cutmix_p1,0.7299999999999898
43,pixelate,2,63.96,62.52,cutmix_p1,1.4399999999999977
43,pixelate,3,56.06,53.72,cutmix_p1,2.3400000000000034
43,pixelate,4,31.99,27.59,cutmix_p1,4.399999999999999
43,pixelate,5,14.15,12.51,cutmix_p1,1.6400000000000006
43,shot_noise,1,52.02,41.21,cutmix_p1,10.810000000000002
43,shot_noise,2,36.2,24.49,cutmix_p1,11.710000000000004
43,shot_noise,3,17.0,10.23,cutmix_p1,6.77
43,shot_noise,4,12.78,8.1,cutmix_p1,4.68
43,shot_noise,5,8.7,6.14,cutmix_p1,2.5599999999999996
43,snow,1,71.06,70.45,cutmix_p1,0.6099999999999994
43,snow,2,52.43,52.33,cutmix_p1,0.10000000000000142
43,snow,3,59.13,59.62,cutmix_p1,-0.4899999999999949
43,snow,4,54.79,55.77,cutmix_p1,-0.980000000000004
43,snow,5,44.11,45.31,cutmix_p1,-1.2000000000000028
43,zoom_blur,1,65.91,66.5,cutmix_p1,-0.5900000000000034
43,zoom_blur,2,59.98,60.75,cutmix_p1,-0.7700000000000031
43,zoom_blur,3,52.91,53.18,cutmix_p1,-0.2700000000000031
43,zoom_blur,4,46.37,46.45,cutmix_p1,-0.0800000000000054
43,zoom_blur,5,37.69,38.22,cutmix_p1,-0.5300000000000011
44,brightness,1,77.99,78.59,cutmix_p1,-0.6000000000000085
44,brightness,2,77.05,77.54,cutmix_p1,-0.4900000000000091
44,brightness,3,75.33,75.74,cutmix_p1,-0.4099999999999966
44,brightness,4,73.35,72.97,cutmix_p1,0.37999999999999545
44,brightness,5,66.88,65.71,cutmix_p1,1.1700000000000017
44,contrast,1,77.08,77.48,cutmix_p1,-0.4000000000000057
44,contrast,2,69.72,69.51,cutmix_p1,0.20999999999999375
44,contrast,3,62.2,62.0,cutmix_p1,0.20000000000000284
44,contrast,4,48.7,48.59,cutmix_p1,0.10999999999999943
44,contrast,5,18.99,17.96,cutmix_p1,1.0299999999999976
44,defocus_blur,1,78.22,78.24,cutmix_p1,-0.01999999999999602
44,defocus_blur,2,74.73,73.72,cutmix_p1,1.0100000000000051
44,defocus_blur,3,65.0,64.17,cutmix_p1,0.8299999999999983
44,defocus_blur,4,52.54,52.43,cutmix_p1,0.10999999999999943
44,defocus_blur,5,31.38,31.97,cutmix_p1,-0.5899999999999999
44,elastic_transform,1,69.54,69.32,cutmix_p1,0.22000000000001307
44,elastic_transform,2,69.37,68.81,cutmix_p1,0.5600000000000023
44,elastic_transform,3,62.49,62.08,cutmix_p1,0.4100000000000037
44,elastic_transform,4,55.89,53.67,cutmix_p1,2.219999999999999
44,elastic_transform,5,49.49,47.84,cutmix_p1,1.6499999999999986
44,fog,1,77.77,78.21,cutmix_p1,-0.4399999999999977
44,fog,2,74.51,74.22,cutmix_p1,0.29000000000000625
44,fog,3,69.71,68.57,cutmix_p1,1.1400000000000006
44,fog,4,62.26,61.04,cutmix_p1,1.2199999999999989
44,fog,5,38.19,36.47,cutmix_p1,1.7199999999999989
44,frost,1,66.18,66.52,cutmix_p1,-0.3399999999999892
44,frost,2,56.36,56.48,cutmix_p1,-0.11999999999999744
44,frost,3,43.82,44.73,cutmix_p1,-0.9099999999999966
44,frost,4,41.68,43.1,cutmix_p1,-1.4200000000000017
44,frost,5,32.39,33.52,cutmix_p1,-1.1300000000000026
44,gaussian_noise,1,35.66,31.25,cutmix_p1,4.409999999999997
44,gaussian_noise,2,17.92,15.64,cutmix_p1,2.280000000000001
44,gaussian_noise,3,10.64,8.75,cutmix_p1,1.8900000000000006
44,gaussian_noise,4,8.53,7.26,cutmix_p1,1.2699999999999996
44,gaussian_noise,5,7.06,6.23,cutmix_p1,0.8299999999999992
44,glass_blur,1,21.21,21.79,cutmix_p1,-0.5799999999999983
44,glass_blur,2,22.82,22.61,cutmix_p1,0.21000000000000085
44,glass_blur,3,26.52,26.48,cutmix_p1,0.03999999999999915
44,glass_blur,4,17.24,16.84,cutmix_p1,0.3999999999999986
44,glass_blur,5,20.01,20.01,cutmix_p1,0.0
44,impulse_noise,1,62.45,62.52,cutmix_p1,-0.07000000000000028
44,impulse_noise,2,38.71,39.27,cutmix_p1,-0.5600000000000023
44,impulse_noise,3,21.65,22.54,cutmix_p1,-0.8900000000000006
44,impulse_noise,4,8.63,8.61,cutmix_p1,0.02000000000000135
44,impulse_noise,5,4.24,4.75,cutmix_p1,-0.5099999999999998
44,jpeg_compression,1,58.89,57.36,cutmix_p1,1.5300000000000011
44,jpeg_compression,2,49.79,48.17,cutmix_p1,1.6199999999999974
44,jpeg_compression,3,46.2,44.46,cutmix_p1,1.740000000000002
44,jpeg_compression,4,42.43,41.3,cutmix_p1,1.1300000000000026
44,jpeg_compression,5,37.4,36.64,cutmix_p1,0.759999999999998
44,motion_blur,1,69.47,68.18,cutmix_p1,1.289999999999992
44,motion_blur,2,59.92,58.99,cutmix_p1,0.9299999999999997
44,motion_blur,3,50.15,49.38,cutmix_p1,0.769999999999996
