seed,corruption,severity,accuracy_p05,accuracy_control,control,delta
43,zoom_blur,5,53.4,56.55,cutmix_p1,-3.1499999999999986
44,brightness,1,95.86,95.78,cutmix_p1,0.0799999999999983
44,brightness,2,95.34,95.44,cutmix_p1,-0.09999999999999432
44,brightness,3,94.61,94.89,cutmix_p1,-0.28000000000000114
44,brightness,4,93.81,93.96,cutmix_p1,-0.14999999999999147
44,brightness,5,91.51,91.46,cutmix_p1,0.05000000000001137
44,contrast,1,95.41,95.34,cutmix_p1,0.06999999999999318
44,contrast,2,92.83,92.86,cutmix_p1,-0.030000000000001137
44,contrast,3,90.11,89.95,cutmix_p1,0.1599999999999966
44,contrast,4,84.0,82.96,cutmix_p1,1.0400000000000063
44,contrast,5,47.73,45.64,cutmix_p1,2.0899999999999963
44,defocus_blur,1,95.73,95.71,cutmix_p1,0.020000000000010232
44,defocus_blur,2,94.4,94.1,cutmix_p1,0.30000000000001137
44,defocus_blur,3,89.23,87.46,cutmix_p1,1.7700000000000102
44,defocus_blur,4,79.46,77.39,cutmix_p1,2.069999999999993
44,defocus_blur,5,53.94,42.33,cutmix_p1,11.61
44,elastic_transform,1,91.26,91.64,cutmix_p1,-0.37999999999999545
44,elastic_transform,2,91.02,90.98,cutmix_p1,0.03999999999999204
44,elastic_transform,3,86.42,85.77,cutmix_p1,0.6500000000000057
44,elastic_transform,4,79.06,78.08,cutmix_p1,0.980000000000004
44,elastic_transform,5,74.37,73.39,cutmix_p1,0.980000000000004
44,fog,1,95.66,95.59,cutmix_p1,0.06999999999999318
44,fog,2,94.84,94.65,cutmix_p1,0.18999999999999773
44,fog,3,92.87,93.08,cutmix_p1,-0.20999999999999375
44,fog,4,90.3,89.92,cutmix_p1,0.37999999999999545
44,fog,5,73.22,72.21,cutmix_p1,1.0100000000000051
44,frost,1,90.63,90.95,cutmix_p1,-0.3200000000000074
44,frost,2,85.22,85.78,cutmix_p1,-0.5600000000000023
44,frost,3,75.99,77.46,cutmix_p1,-1.4699999999999989
44,frost,4,74.09,75.35,cutmix_p1,-1.259999999999991
44,frost,5,64.34,65.98,cutmix_p1,-1.6400000000000006
44,gaussian_noise,1,73.09,64.61,cutmix_p1,8.480000000000004
44,gaussian_noise,2,50.08,39.51,cutmix_p1,10.57
44,gaussian_noise,3,31.31,23.59,cutmix_p1,7.719999999999999
44,gaussian_noise,4,25.51,19.02,cutmix_p1,6.490000000000002
44,gaussian_noise,5,21.0,16.31,cutmix_p1,4.690000000000001
44,glass_blur,1,57.06,61.34,cutmix_p1,-4.280000000000001
44,glass_blur,2,59.09,62.81,cutmix_p1,-3.719999999999999
44,glass_blur,3,62.9,64.85,cutmix_p1,-1.9499999999999957
44,glass_blur,4,47.4,51.22,cutmix_p1,-3.8200000000000003
44,glass_blur,5,51.6,53.53,cutmix_p1,-1.9299999999999997
44,impulse_noise,1,86.11,83.0,cutmix_p1,3.1099999999999994
44,impulse_noise,2,70.75,63.8,cutmix_p1,6.950000000000003
44,impulse_noise,3,55.94,50.07,cutmix_p1,5.869999999999997
44,impulse_noise,4,34.83,35.82,cutmix_p1,-0.990000000000002
44,impulse_noise,5,21.66,25.13,cutmix_p1,-3.469999999999999
44,jpeg_compression,1,85.77,83.79,cutmix_p1,1.9799999999999898
44,jpeg_compression,2,79.47,76.25,cutmix_p1,3.219999999999999
44,jpeg_compression,3,76.93,72.74,cutmix_p1,4.190000000000012
44,jpeg_compression,4,73.13,68.53,cutmix_p1,4.599999999999994
44,jpeg_compression,5,67.47,62.85,cutmix_p1,4.619999999999997
44,motion_blur,1,91.39,91.19,cutmix_p1,0.20000000000000284
44,motion_blur,2,83.65,83.4,cutmix_p1,0.25
